🕘️更新时间,#genre#
天津卫视,http://182.37.41.46:8154/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://139.227.221.119:9901/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://sun135790.x3322.net:9901/tsfile/live/16001_1.m3u8?key=txiptv
天津卫视,http://123.113.101.206:9901/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://223.14.160.12:9901/tsfile/live/0135_1.m3u8?key=txiptv
天津卫视,http://118.193.115.2:9901/tsfile/live/0135_1.m3u8?key=txiptv
浙江卫视,http://69.30.246.194/live/zjws.m3u8
浙江卫视,http://182.37.41.46:8154/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://139.227.221.119:9901/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://123.113.101.206:9901/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://119.50.4.230:9901/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://sun135790.x3322.net:9901/tsfile/live/16028_1.m3u8?key=txiptv
浙江卫视,http://39.77.164.174:9901/tsfile/live/0002_19.m3u8?key=txiptv
浙江卫视,http://223.14.160.12:9901/tsfile/live/0124_1.m3u8?key=txiptv
浙江卫视,http://118.193.115.2:9901/tsfile/live/0124_1.m3u8?key=txiptv
西藏卫视,http://39.77.164.174:9901/tsfile/live/0002_41.m3u8?key=txiptv
新疆卫视,http://39.77.164.174:9901/tsfile/live/0002_42.m3u8?key=txiptv
新疆卫视,http://118.193.115.2:9901/tsfile/live/0110_1.m3u8?key=txiptv
云南卫视,http://182.37.41.46:8154/tsfile/live/0119_1.m3u8?key=txiptv
云南卫视,http://223.14.160.12:9901/tsfile/live/0119_1.m3u8?key=txiptv

☘️电影频道,#genre#
CHC家庭影院,http://69.30.245.50/live/chcjt.m3u8
CHC动作电影,http://69.30.245.50/live/chcdz.m3u8
CHC动作电影,http://39.77.164.174:9901/tsfile/live/0002_68.m3u8?key=txiptv
天津影视,http://sun135790.x3322.net:9901/tsfile/live/16004_1.m3u8?key=txiptv

☘️教育频道,#genre#
CETV1,http://39.77.164.174:9901/tsfile/live/0002_46.m3u8?key=txiptv

☘️动画频道,#genre#
北京卡酷少儿,http://39.77.164.174:9901/tsfile/live/0002_47.m3u8?key=txiptv
山东少儿,http://39.77.164.174:9901/tsfile/live/0002_54.m3u8?key=txiptv
哈哈炫动,http://39.77.164.174:9901/tsfile/live/0002_48.m3u8?key=txiptv

☘️其他频道,#genre#
山东综艺,http://39.77.164.174:9901/tsfile/live/0002_49.m3u8?key=txiptv
山东农科,http://39.77.164.174:9901/tsfile/live/0002_55.m3u8?key=txiptv
天津都市,http://sun135790.x3322.net:9901/tsfile/live/16005_1.m3u8?key=txiptv
天津文艺,http://sun135790.x3322.net:9901/tsfile/live/16003_1.m3u8?key=txiptv
天津体育,http://sun135790.x3322.net:9901/tsfile/live/16006_1.m3u8?key=txiptv
天津新闻,http://sun135790.x3322.net:9901/tsfile/live/16002_1.m3u8?key=txiptv
